,school,no_of_applicants,accept_rate,sat_25th_perc,sat_75th_perc,sat_median,sat_median_pct,act_25th_perc,act_75th_perc,act_median,act_median_pct,applicants_accepted
347,Oregon State University,15786,0.836,1080.0,1320.0,1200.0,66.67,21.0,28.0,24.5,68.06,13197
348,The Catholic University of America,6096,0.8370000000000001,1140.0,1320.0,1230.0,69.17,24.0,30.0,27.0,75.0,5102
349,University of Puget Sound,5182,0.838,1150.0,1370.0,1260.0,71.67,25.0,30.0,27.5,76.39,4342
350,University of New Hampshire,18040,0.84,1070.0,1270.0,1170.0,64.17,22.0,28.0,25.0,69.44,15153
351,Missouri University of Science & Technology,4333,0.8420000000000001,1180.0,1380.0,1280.0,73.33,25.0,31.0,28.0,77.78,3648
352,St. Mary's College of Maryland,1621,0.843,1060.0,1290.0,1175.0,64.58,21.0,29.0,25.0,69.44,1366
353,University of Arizona,40854,0.846,1120.0,1350.0,1235.0,69.58,21.0,29.0,25.0,69.44,34562
354,Susquehanna University,4863,0.848,1100.0,1290.0,1195.0,66.25,22.0,28.0,25.0,69.44,4123
355,Arizona State University—​Tempe,26869,0.848,1130.0,1360.0,1245.0,70.42,22.0,29.0,25.5,70.83,22784
356,Wheaton College (IL),1889,0.848,1220.0,1440.0,1330.0,77.5,26.0,32.0,29.0,80.56,1601
357,Northern Arizona,36855,0.85,1030.0,1230.0,1130.0,60.83,19.0,25.0,22.0,61.11,31326
358,Washington and Jefferson College,2722,0.852,1090.0,1280.0,1185.0,65.42,22.0,28.0,25.0,69.44,2319
359,Kent State,16308,0.855,1040.0,1230.0,1135.0,61.25,20.0,26.0,23.0,63.89,13943
360,Mills College,1003,0.855,1008.0,1240.0,1124.0,60.33,21.0,29.0,25.0,69.44,857
361,Hope College,3748,0.857,1130.0,1330.0,1230.0,69.17,23.0,31.0,27.0,75.0,3212
362,Valparaiso University,5491,0.858,1070.0,1290.0,1180.0,65.0,22.0,29.0,25.5,70.83,4711
